经纬度,count
"120.13327606648856, 30.076105166336152",3249
"120.19457409889512, 30.068892958174597",130
"120.21551180372168, 30.25308298169347",78562
"120.46848366958999, 30.338653921723363",37299
"120.45334222986314, 30.31605196581798",1784
"120.43070641860562, 30.269104550435205",16628
"120.44659820124699, 30.286079095817154",782
"120.28698770762414, 30.21649782989135",1402
"120.26905189008298, 30.220367063336294",165
"120.27011278889027, 30.221318946224738",99
"120.48608816061838, 30.23467467379749",2648
"120.1837189023498, 30.07061160179425",27158
"120.20862898690424, 30.06612213640747",383
"120.29830916155967, 30.202053852930828",22438
"120.29232924149164, 30.24765459914221",37283
"120.26002041631622, 30.15861032664578",349
"120.20626707222685, 30.01713293986793",1776
"120.17029221106178, 30.005080592317373",21374
"120.1989063568781, 30.021745735100378",369
"120.56266174706953, 30.356467947463745",11828
"120.59856090443603, 30.303719336860127",7949
"120.55022784416671, 30.290803876404986",17115
"120.25111105730218, 30.127206526151838",4630
"120.26733432994791, 30.127411255063148",2022
"120.26086491332616, 30.09652671691406",472
"120.31687189124503, 30.001916175044418",13396
"120.4448260241369, 30.151159443523127",17589
"120.46626229660626, 30.196281582758512",51404
"120.21473322257347, 30.01078794760814",122
"120.23631404407736, 30.11487386891428",480
"120.31723651165493, 30.160613535797303",16887
"120.2704705839749, 30.18751122221409",21254
"120.23921619968844, 30.018955521787145",4199
"120.53052895114689, 30.168472997552946",3851
"120.10176800072608, 30.421183659443226",25331
"120.54194066502346, 30.17188340139113",100
"120.53053263419949, 30.166229408096378",2375
"120.54342924708403, 30.173448177264998",100
"119.1545754308187, 29.668436003713705",240
"120.05393008825047, 30.295933383628384",4063
"120.21052529303829, 29.975997968621172",108
"120.17930519349022, 29.955466252089803",8101
"120.21372927929966, 29.955972341056963",1222
"120.29366480888658, 30.141713578560616",713
"120.29066988167226, 30.163338081948915",3992
"120.39175054138536, 30.237655304295163",4089
"120.39095904440053, 30.243545078713932",1732
"120.29657866582524, 30.208389676450892",2531
"120.29701479315034, 30.09622659398211",187
"120.28132229419653, 30.12769995907573",866
"120.30426474203988, 30.089818022019443",7829
"120.30033322353475, 30.09775157139273",344
"120.29491132159536, 30.09867413634936",344
"120.2606888133609, 29.96992060064806",10114
"120.26797985228737, 30.1782332056046",706
"120.26700312290976, 30.195037471552638",19343
"120.29150334299901, 30.18621563713927",1359
"120.51917805255337, 30.319500299843405",1193
"120.54540578869764, 30.283013016418106",8106
"120.54626888063163, 30.282706060099446",875
"120.51184038952061, 30.30069073272885",25937
"120.49783781702779, 30.271614361127117",2413
"120.36211652057781, 30.192537561295843",2455
"120.35907126489899, 30.217668800819844",53089
"120.58748367641273, 30.163473911169906",1719
"120.12344929171216, 29.899987965993216",9520
"120.16042347103297, 29.928960669585138",503
"120.4268070037428, 30.19461807112183",199
"120.25218529594628, 30.051753908258767",19111
"120.25674492493519, 30.04535309116791",648
"120.2657620258138, 30.040413833614988",1770
"120.26010011218446, 30.043916897256455",442
"120.25576002277406, 30.042830228117587",685
"120.27442393669376, 30.189896279963357",631
"120.30055267957084, 30.27573304864503",4852
"120.29515486237159, 30.00617217227022",1350
"120.28966629475651, 30.038267666469654",842
"120.19493369059077, 30.143157614794237",686
"120.27407629246139, 30.06943031349312",566
"120.27131355386547, 30.061321302955985",446
"120.27087284518227, 30.060574553228097",446
"120.26449038453387, 30.063041478224353",446
"120.26340603995277, 30.06177821158365",446
"120.21043979115126, 30.179471241268317",4293
"120.29733099668985, 30.146192184540684",446
"120.26240299202034, 30.06290425915493",446
"120.27031643474939, 30.0619049609572",686
"120.27460090287923, 30.073322906484123",446
"120.2630063838314, 30.062583559623803",506
"120.29698362194914, 30.169083727049387",446
"120.27590398485201, 30.069870228478464",446
"120.27045989413932, 30.062639041342916",386
"120.27349832269627, 30.073824373855558",686
"120.26866346278048, 30.061857683928906",446
"120.27481667586271, 30.073592861581627",686
"120.27490201488617, 30.072286209487658",686
"120.2673381926616, 30.063400856869716",446
"120.27785007390882, 30.072243156789952",446
"120.27388836694871, 30.073297512695714",686
"120.32061408737242, 30.23632650867049",239
"120.23233122693776, 30.18276723363413",3754
"120.23917047593797, 30.17874303281064",1398
"120.26516944421125, 30.17633309000993",2935
"120.39294358093316, 30.236281656138836",1075
"120.14734595619969, 30.27945703523914",159
"120.26402937414615, 30.22146717729366",596
"120.52181556736122, 30.312168429425306",350
"120.51845051492083, 30.301641507334008",804
"120.53797455636635, 30.306942175269175",650
"120.51217854585018, 30.314567579431657",3400
"120.54432755259403, 30.309309029045487",560
"120.51451261305675, 30.31949679264976",1191
"113.5314355437236, 22.807929296528254",350
"120.54910571236434, 30.234257444002075",11978
"120.56796008411997, 30.213121572915888",2750
"120.24308825575865, 30.21328323639273",475
"120.24311610322945, 30.21323236548204",475
"120.24229424351837, 30.19280882608446",887
"120.2428179556307, 30.209344095204862",475
"120.14206589607313, 30.28351013234074",475
"120.2415950025094, 30.19396707765911",1676
"120.24519532116285, 30.20431893491491",475
"120.24224887909013, 30.20184098183341",582
"120.03326271768746, 30.37424242830496",859
"120.07273871918784, 30.250891177313765",1971
"120.22981354608494, 30.183639408098422",887
"120.23441996690956, 30.18420009313844",475
"120.29204572639135, 30.415387198526236",7259
"120.25713398105157, 30.155412119609775",413
"120.24579125703818, 30.136936319348766",413
"120.26873119501593, 30.18460881988682",413
"120.25912291928121, 30.13028919846232",1379
"120.25189147009533, 30.153877033579928",413
"120.21161199001122, 30.073559263737376",1306
"120.22384125173241, 30.08257463651286",230
"120.55269805316655, 30.333794021878166",230
"120.38313381527256, 30.180909846756386",1783
"120.38380691559118, 30.19377010874922",18109
"120.20426187466748, 30.070242709125033",504
"120.20655318253179, 30.074318806606374",3978
"120.29075351391525, 30.163750252794642",354
"120.09472670605739, 29.90949962700298",1984
"120.10819778531113, 29.91019720132641",190
"120.29164723806711, 30.162788518113686",444
"120.28789268035761, 30.163577188089018",1029
"120.29543682969151, 30.083384969957674",1354
"120.28059797364317, 29.96474211150252",1084
"120.16266835328338, 30.056068615269588",204
"120.36592318000689, 30.20259024233641",1895
"120.28911877754818, 30.16813063141634",1343
"120.31477123884387, 30.15080671104274",480
"120.31674032452175, 30.147995267394492",679
"120.25141905122764, 30.199564605380758",1325
"120.27417615618664, 30.200149869482107",1099
"120.29473157003564, 30.189780154030377",58
"120.29856311252733, 30.16790566514319",3515
"120.29090685466579, 30.171597481882593",1358
"120.26219081225888, 30.190990728870368",1226
"120.19257096743843, 30.069432266938804",1686
"120.19219754183793, 30.06836544538265",271
"120.34093025461662, 30.193954669565997",123
"120.33995415584948, 30.194813399527952",123
"120.19540440267801, 30.118105579927466",1717
"120.18654449538228, 30.129330864513253",922
"120.38292891178573, 30.228979778424325",120
"119.97162554081527, 30.27648033689821",5640
"120.30261941105765, 30.21800202200301",2329
"120.3253617218232, 30.192163049203725",552
"120.3056479456777, 30.19615512489934",148
"120.3088638919797, 30.191709246939208",4627
"120.29622114023226, 30.178124246474606",148
"120.28011083938578, 30.416175143360245",552
"113.9337148068996, 22.585381720566428",552
"120.56318915211578, 30.335712407574437",823
"120.56394798222075, 30.350471276121805",1635
"120.46347026516595, 30.29242254624258",45
"120.46299497172062, 30.291991040093144",45
"120.46896232539285, 30.21324711180704",162
"120.4704927684902, 30.205439829823007",162
"120.46465980132226, 30.196599430609304",1964
"120.46875535580335, 30.213220740070803",162
"120.4785218231384, 30.20960064436769",162
"120.46734780089977, 30.21350778589271",2473
"120.35247671431968, 30.2295691442526",964
"120.44064962665144, 30.22441848228743",369
"120.43860355169984, 30.22403676602055",540
"120.44076325780694, 30.224426914422477",935
"120.30943350750357, 30.19165922320693",2386
"120.45295384298439, 30.26579632256351",250
"120.45510452561263, 30.267447229790086",250
"120.45200859113014, 30.266448838518347",250
"120.45327404847494, 30.26561087487576",1535
"120.4434458549751, 30.269145347788296",415
"120.31865086942614, 30.42841814872024",250
"120.45372014609289, 30.265640764015128",250
"120.44933140535437, 30.267580313057103",250
"113.06144723583577, 33.874745598630774",250
"120.39718591404306, 30.163145822076853",10348
"120.3970238642206, 30.173267246215353",185
"120.36029736208955, 30.17172643066994",1392
"120.3578930473921, 30.180643153753927",1873
"120.46338654309241, 30.187478834162786",3355
"119.54939157182025, 29.908570615949507",367
"120.45375886395868, 30.179809587078072",656
"120.2657444190258, 30.137314557188372",371
"120.26247126323909, 30.181557337180564",690
"120.2647766744999, 30.173011538085493",2985
"120.25117040026248, 30.17856289208759",2944
"120.46474320898886, 30.18376713124776",190
"120.46834168611599, 30.1817530039449",2250
"120.46402532814055, 30.179880924430012",1036
"120.48300289890365, 30.241070060607804",8661
"120.29615520460783, 30.21213520143048",1315
"120.28585388617216, 30.212045786150924",975
"120.26472879481621, 30.044191670903846",1011
"120.24993325391414, 30.208689922992374",180
"118.7949084258509, 29.729219156491634",380
"120.20489688683249, 30.10819587951904",150
"120.40855980476613, 30.20009487849484",1982
"120.41908346279857, 30.19284488020839",104
"120.4203138718556, 30.187907526221387",835
"120.41613782920079, 30.199729724836",1065
"120.4179055093935, 30.203562054747245",523
"119.52837743777393, 30.2480191314263",104
"120.42147376393007, 30.184240130797075",594
"120.42531455896854, 30.1920905502391",494
"120.421952740428, 30.189109149459085",104
"120.41204227471971, 30.189048510646796",104
"120.40314144331987, 30.216422643518943",179
"120.40520203758342, 30.199538073873203",244
"120.41498080721242, 30.189242490328645",104
"120.28995105760318, 30.221902819297505",2470
"120.28946785906936, 30.219810253173062",1328
"120.27496714203563, 30.164380137037014",3212
"120.28214244712713, 30.164951158834718",2267
"120.38180549091494, 30.16721234111838",952
"120.20788599841694, 30.05537926507674",806
"120.34777803751919, 30.198636076353555",5139
"120.34751989865123, 30.197065378628054",156
"119.77757823908397, 29.86655561585044",156
"120.34629550554621, 30.196206715092828",156
"120.37856170971843, 30.163249948979686",95
"120.35599142445803, 30.161512175393323",95
"120.20645390297675, 29.977256630415766",332
"120.2019014703148, 29.996509417607463",452
"120.59569894979312, 30.199769209881683",1014
"120.25364557445289, 29.991114609968914",398
"120.2725239138916, 29.98324938525445",1465
"120.4807021902722, 30.238099454184432",525
"120.46146174387619, 30.16912392702915",1919
"120.46449604022779, 30.174704772393884",175
"120.44202331094577, 30.164752023656227",876
"120.46047899764827, 30.255099182845623",268
"120.26229896824229, 30.23725405439095",216
"120.25922658373705, 30.243632593101836",1145
"120.26414480640418, 30.23506579363591",216
"120.28715885458652, 30.2374990635202",216
"120.24330745667596, 30.243365278753004",157
"120.23503332991177, 30.235198948754768",157
